Item	Menu Item	Function	Available values	Default	Actual
20	EMG S	Selects which emergency alarms sound	EMG.BEP / EMG.LMP / EMG.B+L / EMG.CWT / EMD.C+B / EMG.C+L / EMG.ALL / OFF	EMG.B+L	EMG.B+L
21	INET	Selects the Internet Connection mode	INT.COD (Wires) / INT.MEM (Other) / INT.OFF	INT.OFF	
22	INT CD	Selects the Access Number (DTMF digit) for WIRES operation	CODE 0-9 A B C D E F	CODE 1	CODE 1
23	INT MR	Selects the Access Number (DTMF code) for non-WIRES Internet Link System access	d-1 to d-9	d-1	d-9
24	LAMP	Selects the LCD/Keypad lamp mode	KEY / 5SEC / TOGGLE	KEY	KEY
25	LOCK	Selects the Control Locking lockout combination	LK KEY / LK DIAL / LK K+D / LK PTT / LK P+K / LK P+D / LK ALL	LK K+D	LK PTT
26	MONI	Selects the MONI switch function	MONI / T-CALL	T-CALL	MONI
27	NAME	Toggle name display between frequency and name	Setting is done with the rig for individual memories	-	-
28	NM WRT	Stores Alpha-Numeric 'Tags' for the Memory/Home channels	Setting is done with the rig for individual memories	-	-
29	PAGER	Enable/disable the enhanced CTCSS paging and code squelch	Turns off when rig powered on	-	-
30	PAG.ABK	Enable/disable the answer back function of the enhanced CTCSS paging and code squelch	ABK.OFF / ABK.ON	ABK.OFF	ABK.OFF
31	PAG.CDR	Setting the receiver pager code for the enhanced CTCSS paging and code squelch	Code1 Code2	05 47	
				Code 1	05
				Code 2	47
32	PAG.CDT	Setting the transmitter pager code for the enhanced CTCSS paging and code squelch	Code1 Code2	05 47	
				Code 1	05
				Code 2	47
33	PSWD	Enables/disables the password feature. Must be done on the radio	-	-	-
34	PSWD W	Stores the password.	-	-	
35	RESUME	Selects the Scan-Resume mode	TIME / BUSY / HOLD	BUSY	BUSY
36	REV/HM	Selects the function of the (HM/RV) key	<REV> / <HOME>	<REV>	<HOME>
37	RF SQL	Adjust the RF SQL threshold level	OFF / S-1 ~ S-8 / S-FULL	OFF	OFF
38	RPT.MOD	Sets the Repeater Shift Direction	RPT.OFF / RPT.- / RPT.+	RPT.OFF	RPT.OFF
39	PRI.RVT	Enables/Disables the Priority Revert feature	RVT.ON / RVT.OFF	RVT.OFF	RVT.OFF
40	RX MOD	"Selects the receiving mode. AUTO means AM in 108-137MHz and 300-320MHz, FM elsewhere"	AUTO / FM / AM	AUTO	AUTO
41	RXSAVE	Selects the receive-mode battery saver interval (sleep ratio)	200ms / 300ms / 500ms / 1sec / 2sec / OFF	200ms	200ms
42	S SRCH	Selects the Smart Search Sweep mode	SINGLE / CONT	SINGLE	CONT
43	SCN MD	Selects the Memory Scan channel-selection mode	MEM / ONLY	MEM	MEM
44	SCN LMP	Enables/disables the scan lamp while paused	ON / OFF	ON	ON
45	SHIFT	Sets the magnitude of the Repeater Shift	0.00 - 99.50 MHz	varies	0.60
46	SKIP	Selects what action will happen on a 'flagged' Memory Channel	Memory channels only	N/A	N/A
47	SPLIT	Enables/disables split CTCSS/DCS coding	SPL.OFF / SPL.ON	SPL.OFF	SPL.OFF
48	SQL.TYP	Selects the Tone Encoder and/or Decoder mode	OFF / TONE / TSQL / REV TN / DCS / D / T DCS / D TSQL	OFF	OFF
49	STEP	Sets the Synthesizer steps	5k / 10k / 12.5k / 15k / 20k / 25k / 50k / 100k / AUTO	AUTO	AUTO
50	TN FRQ	Sets the CTCSS Tone Frequency	50 standard CTCSS tones	100Hz	100.0
51	TOT	Sets the Time-Out Timer	1-30mins / OFF	6mins	1mins
52	TX.LED	Enables/disables the TX LED while transmitting	LED.ON / LED.OFF	LED.ON	LED.ON
53	TXSAVE	Enables/disables the transmitter battery saver	SAV.OFF / SAV.ON	SAV.OFF	SAV.OFF
54	VFO.BND	Selects or disables the VFO band edge limiting for the current band	BAND / ALL	BAND	BAND
55	WID.NAR	Select wide (5kHz) or narrow (2.5kHz) TX deviation	WIDE / NARROW	WIDE	WIDE
56	WX ALT	Enables/disables the Weather Alert Scan	ALT.ON / ALT.OFF	ALT.OFF	ALT.OFF
57	[7(P1)]	Defines the setting of the [7(P1)] button	one of 52 settings	29 PAGER	29 PAGER
58	[8(P2)]	Defines the setting of the [8(P2)] button	one of 52 settings	46 SKIP	46 SKIP
